empty_flag = U     full_flag = U     Pcount_seven_segement_decoder = UUUUUUU     Tcount_seven_segement_1_decoder = UUUUUUU     Tcount_seven_segement_2_decoder = UUUUUUU
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0010010     Tcount_seven_segement_1_decoder = 1001100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0010010     Tcount_seven_segement_1_decoder = 1001100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 1001100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 1001100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0000110     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100000     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0010010     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0010010     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 1     Pcount_seven_segement_decoder = 0001111     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 1001111     Tcount_seven_segement_2_decoder = 0010010
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100000     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0000000     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0010010     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0010010     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0010010     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 1001100     Tcount_seven_segement_1_decoder = 0010010     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0010010     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0010010     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 0     full_flag = 0     Pcount_seven_segement_decoder = 0100100     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 1     full_flag = 0     Pcount_seven_segement_decoder = 0000001     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 1     full_flag = 0     Pcount_seven_segement_decoder = 0000001     Tcount_seven_segement_1_decoder = 0100100     Tcount_seven_segement_2_decoder = 1001111
empty_flag = 1     full_flag = 0     Pcount_seven_segement_decoder = 0000001     Tcount_seven_segement_1_decoder = 0000001     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 1     full_flag = 0     Pcount_seven_segement_decoder = 0000001     Tcount_seven_segement_1_decoder = 0000001     Tcount_seven_segement_2_decoder = 1111111
empty_flag = 1     full_flag = 0     Pcount_seven_segement_decoder = 0000001     Tcount_seven_segement_1_decoder = 0000001     Tcount_seven_segement_2_decoder = 1111111
